project_id,overall_risk_score,risk_level,investigation_priority,primary_typology,fraud_probability,synthesized_reasons,primary_reason,secondary_reason,tertiary_reason,financial_anomaly_score,geospatial_anomaly_score,procurement_anomaly_score,contractor_anomaly_score,payment_anomaly_score,progress_anomaly_score,graph_anomaly_score,feature_importance_contributions,scored_at
MPLADS-000357,13.2,LOW,ROUTINE,NORMAL,0.0308,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,16.51,13.48,24.2,39.01,30.72,32.18,41.19,"{""geo__population_density"": 0.35, ""financial__sanctioned_amount"": 0.2172, ""geospatial_anomaly_score"": 0.1138}",2026-09-06T09:49:30.394413+00:00
MPLADS-000358,7.6,LOW,ROUTINE,NORMAL,0.0345,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,10.16,11.05,31.74,10.65,4.47,16.28,9.71,"{""geospatial_anomaly_score"": 0.1352, ""geo__infrastructure_gap_index"": 0.0923, ""project__planned_duration_days"": 0.0559}",2026-09-06T09:49:30.395501+00:00
MPLADS-000359,80.0,CRITICAL,IMMEDIATE,COST_OVERRUN,1.0,"[""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Financial Execution] Accelerated disbursement velocity (1.7x peer median disbursement speed)"", ""[Financial Execution] Atypical cost per unit (+96.7% vs peer median rate)"", ""[Financial Execution] Contract escalation (51.5% value change with 0 amendments)"", ""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP""]",[Payment Structuring] PAYMENT_TIMING_ANOMALY,[Financial Execution] Accelerated disbursement velocity (1.7x peer median disbursement speed),[Financial Execution] Atypical cost per unit (+96.7% vs peer median rate),80.41,15.07,54.57,4.5,82.24,61.7,6.18,"{""progress_anomaly_score"": 4.6152, ""progress_anomaly_percentile"": 0.8595, ""payment_anomaly_score"": 0.2526}",2026-09-06T09:49:30.395501+00:00
MPLADS-000360,12.7,LOW,ROUTINE,NORMAL,0.011,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,24.91,28.93,25.19,13.14,35.81,38.29,46.58,"{""financial__sanctioned_amount"": 0.3179, ""payment_anomaly_percentile"": 0.0064, ""geospatial_anomaly_percentile"": 0.0059}",2026-09-06T09:49:30.395501+00:00
MPLADS-000361,12.7,LOW,ROUTINE,NORMAL,0.0231,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,,35.2,12.67,15.42,28.03,36.74,40.7,16.4,"{""financial__sanctioned_amount"": 0.2639, ""financial_anomaly_score"": 0.1391, ""geospatial_anomaly_score"": 0.1013}",2026-09-06T09:49:30.395501+00:00
MPLADS-000362,65.0,HIGH,PRIORITY,ANOMALOUS_PROFILE,0.3616,"[""[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.21)"", ""[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17)"", ""[Tender & Procurement] Substantial post-award contract amendment (+\u20b90.46 Lakhs added post-tender)"", ""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Tender & Procurement] Non-competitive single-bid procurement in accessible district (infrastructure gap 0.21),[Tender & Procurement] Tender awarded to frequent repeated winning vendor with low competition index (0.17),[Tender & Procurement] Substantial post-award contract amendment (+₹0.46 Lakhs added post-tender),32.18,34.06,100.0,13.03,36.57,33.1,49.85,"{""procurement_anomaly_score"": 1.8135, ""procurement_anomaly_percentile"": 0.6729, ""max_anomaly_score"": 0.1632}",2026-09-06T09:49:30.395501+00:00
MPLADS-000363,8.5,LOW,ROUTINE,NORMAL,0.0308,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,12.01,14.41,13.67,38.14,3.1,15.9,18.78,"{""geospatial_anomaly_score"": 0.0726, ""geo__infrastructure_gap_index"": 0.0606, ""geo__population_density"": 0.0593}",2026-09-06T09:49:30.395501+00:00
MPLADS-000364,11.7,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,31.95,26.25,35.25,19.49,33.63,22.17,14.7,"{""financial__sanctioned_amount"": 0.2849, ""payment_anomaly_score"": 0.1316, ""financial_anomaly_percentile"": 0.0395}",2026-09-06T09:49:30.395501+00:00
MPLADS-000365,3.9,LOW,ROUTINE,NORMAL,0.0182,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,5.1,6.67,18.54,9.26,1.5,2.71,5.33,"{""payment_anomaly_score"": 0.1208, ""project__planned_duration_days"": 0.0382, ""financial_anomaly_percentile"": 0.0018}",2026-09-06T09:49:30.395501+00:00
MPLADS-000366,8.6,LOW,ROUTINE,NORMAL,0.0231,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,17.79,11.69,12.36,35.13,5.74,9.69,42.79,"{""geospatial_anomaly_score"": 0.0995, ""project__planned_duration_days"": 0.0598, ""geospatial_anomaly_percentile"": 0.0329}",2026-09-06T09:49:30.396511+00:00
MPLADS-000367,11.7,LOW,ROUTINE,NORMAL,0.0225,"[""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Contractor Capacity] Contractor capacity and agency pairing metrics within normal parameters"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Payment Structuring] PAYMENT_TIMING_ANOMALY,[Contractor Capacity] Contractor capacity and agency pairing metrics within normal parameters,[Contractor Capacity] Vendor registration profile and governance structure compliant,20.21,17.18,1.28,40.76,60.45,14.57,28.61,"{""geo__infrastructure_gap_index"": 0.0887, ""procurement_anomaly_percentile"": 0.0773, ""geospatial_anomaly_score"": 0.0495}",2026-09-06T09:49:30.396511+00:00
MPLADS-000368,13.1,LOW,ROUTINE,NORMAL,0.0161,"[""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared address)"", ""[Contractor Capacity] High constituency allocation concentration (84.8% of works in single constituency)"", ""[Contractor Capacity] Elevated historical irregularity record (2 past statutory audit findings)""]",[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK,[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared address),[Contractor Capacity] High constituency allocation concentration (84.8% of works in single constituency),14.03,15.46,20.1,50.28,22.91,29.05,69.14,"{""geospatial_anomaly_score"": 0.0594, ""project__planned_duration_days"": 0.0406, ""geospatial_anomaly_percentile"": 0.0354}",2026-09-06T09:49:30.396511+00:00
MPLADS-000369,17.2,LOW,ROUTINE,NORMAL,0.0046,"[""[Geospatial Clustering] High sanctioned funding allocation (+303.6% above regional cluster median)"", ""[Geospatial Clustering] Elevated spatial unit cost (+268.1% vs cluster median for work type)"", ""[Geospatial Clustering] High geographic clustering (19 active works within 25 km radius)"", ""[Financial Execution] Elevated peer-adjusted cost (+304.8% vs peer median for work type)"", ""[Financial Execution] Accelerated disbursement velocity (4.0x peer median disbursement speed)""]",[Geospatial Clustering] High sanctioned funding allocation (+303.6% above regional cluster median),[Geospatial Clustering] Elevated spatial unit cost (+268.1% vs cluster median for work type),[Geospatial Clustering] High geographic clustering (19 active works within 25 km radius),66.2,81.31,29.7,50.2,43.59,14.14,29.77,"{""financial_anomaly_score"": 0.1365, ""project__planned_duration_days"": 0.0457, ""financial_anomaly_percentile"": 0.0411}",2026-09-06T09:49:30.396511+00:00
MPLADS-000370,22.9,LOW,ROUTINE,NORMAL,0.011,"[""[Geospatial Clustering] High sanctioned funding allocation (+517.9% above regional cluster median)"", ""[Geospatial Clustering] High geographic clustering (12 active works within 25 km radius)"", ""[Geospatial Clustering] Elevated spatial unit cost (+143.3% vs cluster median for work type)"", ""[Financial Execution] Elevated peer-adjusted cost (+429.2% vs peer median for work type)"", ""[Financial Execution] Accelerated disbursement velocity (5.3x peer median disbursement speed)""]",[Geospatial Clustering] High sanctioned funding allocation (+517.9% above regional cluster median),[Geospatial Clustering] High geographic clustering (12 active works within 25 km radius),[Geospatial Clustering] Elevated spatial unit cost (+143.3% vs cluster median for work type),91.03,96.38,32.54,80.5,28.96,37.74,35.59,"{""financial_anomaly_percentile"": 0.048, ""project__planned_duration_days"": 0.0135, ""geo__population_density"": 0.0135}",2026-09-06T09:49:30.396511+00:00
MPLADS-000371,8.4,LOW,ROUTINE,NORMAL,0.0225,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY"", ""[Contractor Capacity] Recent corporate board/director replacement registered for contractor"", ""[Contractor Capacity] Elevated historical irregularity record (2 past statutory audit findings)"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,[Contractor Capacity] Recent corporate board/director replacement registered for contractor,[Contractor Capacity] Elevated historical irregularity record (2 past statutory audit findings),2.25,6.4,8.57,41.47,9.55,16.44,45.31,"{""geo__infrastructure_gap_index"": 0.0712, ""std_anomaly_score"": 0.015, ""financial__sanctioned_amount"": 0.0141}",2026-09-06T09:49:30.396511+00:00
MPLADS-000372,14.3,LOW,ROUTINE,NORMAL,0.011,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY"", ""[Contractor Capacity] Heavy agency monopolization (87.8% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] High constituency allocation concentration (84.7% of works in single constituency)"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,[Contractor Capacity] Heavy agency monopolization (87.8% funding channeled through repeated agency-contractor pair),[Contractor Capacity] High constituency allocation concentration (84.7% of works in single constituency),20.63,18.08,26.91,42.28,38.47,41.59,48.42,"{""financial__sanctioned_amount"": 0.1415, ""geospatial_anomaly_percentile"": 0.0503, ""geospatial_anomaly_score"": 0.0471}",2026-09-06T09:49:30.397412+00:00
MPLADS-000373,80.0,CRITICAL,IMMEDIATE,PAYMENT_PROGRESS_MISMATCH,1.0,"[""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP"", ""[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT"", ""[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST"", ""[Payment Structuring] STATUTORY_CEILING_SMURFING""]",[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP,[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT,[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST,20.42,26.85,5.05,18.67,64.89,71.58,20.44,"{""progress_anomaly_score"": 5.3947, ""progress_anomaly_percentile"": 0.9409, ""payment_anomaly_score"": 0.1172}",2026-09-06T09:49:30.397412+00:00
MPLADS-000374,11.9,LOW,ROUTINE,NORMAL,0.0225,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,,16.85,25.59,25.64,10.29,39.04,45.98,8.37,"{""financial__sanctioned_amount"": 0.2318, ""graph_anomaly_percentile"": 0.0334, ""graph_anomaly_score"": 0.0274}",2026-09-06T09:49:30.397412+00:00
MPLADS-000375,10.4,LOW,ROUTINE,NORMAL,0.0231,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,13.31,14.61,16.74,32.6,18.75,22.4,42.99,"{""geospatial_anomaly_score"": 0.0658, ""geo__population_density"": 0.0533, ""project__planned_duration_days"": 0.0501}",2026-09-06T09:49:30.397412+00:00
MPLADS-000376,12.8,LOW,ROUTINE,NORMAL,0.0747,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,,18.65,1.24,12.89,8.54,30.62,43.11,14.75,"{""geo__population_density"": 0.2525, ""financial__sanctioned_amount"": 0.1946, ""geospatial_anomaly_percentile"": 0.1238}",2026-09-06T09:49:30.397412+00:00
MPLADS-000377,12.7,LOW,ROUTINE,NORMAL,0.0225,"[""[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, common ownership)"", ""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] High constituency allocation concentration (82.2% of works in single constituency)"", ""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY""]","[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] High constituency allocation concentration (82.2% of works in single constituency),0.8,14.56,5.32,97.38,6.7,13.19,78.63,"{""geo__infrastructure_gap_index"": 0.1256, ""geospatial_anomaly_score"": 0.0881, ""max_anomaly_score"": 0.0806}",2026-09-06T09:49:30.398408+00:00
MPLADS-000378,22.0,LOW,ROUTINE,NORMAL,0.2216,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,23.33,12.58,8.16,19.48,32.12,36.73,6.76,"{""financial__sanctioned_amount"": 0.3365, ""payment_anomaly_score"": 0.2441, ""geo__infrastructure_gap_index"": 0.1776}",2026-09-06T09:49:30.398408+00:00
MPLADS-000379,18.5,LOW,ROUTINE,NORMAL,0.0182,"[""[Payment Structuring] PAYMENT_TIMING_ANOMALY"", ""[Geospatial Clustering] Elevated spatial unit cost (+244.4% vs cluster median for work type)"", ""[Geospatial Clustering] High geographic clustering (22 active works within 25 km radius)"", ""[Geospatial Clustering] Disproportionate project density relative to local population density (ratio 2.82)"", ""[Financial Execution] Atypical cost per unit (+232.9% vs peer median rate)""]",[Payment Structuring] PAYMENT_TIMING_ANOMALY,[Geospatial Clustering] Elevated spatial unit cost (+244.4% vs cluster median for work type),[Geospatial Clustering] High geographic clustering (22 active works within 25 km radius),47.5,53.5,26.97,36.03,75.08,33.13,36.15,"{""payment_anomaly_score"": 0.0589, ""payment_anomaly_percentile"": 0.0549, ""financial_anomaly_score"": 0.0535}",2026-09-06T09:49:30.398408+00:00
MPLADS-000380,80.0,CRITICAL,IMMEDIATE,PAYMENT_PROGRESS_MISMATCH,1.0,"[""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP"", ""[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT"", ""[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST""]",[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP,[Physical-Financial Trajectory] INSPECTION_DOCUMENTATION_DEFICIT,[Payment Structuring] UNVERIFIED_DISBURSEMENT_BURST,20.28,24.95,15.98,13.86,65.3,66.45,10.42,"{""progress_anomaly_score"": 5.3865, ""progress_anomaly_percentile"": 0.9288, ""payment_anomaly_score"": 0.1108}",2026-09-06T09:49:30.398408+00:00
MPLADS-000381,10.3,LOW,ROUTINE,NORMAL,0.0225,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,19.42,6.25,32.29,19.96,23.83,8.04,57.69,"{""project__planned_duration_days"": 0.061, ""financial__sanctioned_amount"": 0.0457, ""geospatial_anomaly_score"": 0.0261}",2026-09-06T09:49:30.398408+00:00
MPLADS-000382,8.3,LOW,ROUTINE,NORMAL,0.0225,"[""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE"", ""[Entity Graph Relationship] HUB_CENTRALITY_SPIKE""]",[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK,[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE,[Entity Graph Relationship] HUB_CENTRALITY_SPIKE,6.95,5.31,3.74,38.58,3.51,14.19,60.04,"{""financial_anomaly_score"": 0.072, ""project__planned_duration_days"": 0.0626, ""geospatial_anomaly_score"": 0.0333}",2026-09-06T09:49:30.398408+00:00
MPLADS-000383,17.5,LOW,ROUTINE,NORMAL,0.0231,"[""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared address)"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Payment Structuring] NORMAL_DISBURSEMENT_SCHEDULE""]",[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK,[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared address),[Contractor Capacity] Vendor registration profile and governance structure compliant,25.65,27.91,36.75,45.36,41.01,37.53,76.35,"{""financial__sanctioned_amount"": 0.1827, ""geo__infrastructure_gap_index"": 0.157, ""std_anomaly_score"": 0.0944}",2026-09-06T09:49:30.398408+00:00
MPLADS-000384,32.2,LOW,ROUTINE,NORMAL,0.3914,"[""[Tender & Procurement] Single-bid procurement recorded in remote area (infrastructure gap 0.67)"", ""[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines)"", ""[Tender & Procurement] Contract award amount aligned with initial technical estimates""]",[Tender & Procurement] Single-bid procurement recorded in remote area (infrastructure gap 0.67),[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines),[Tender & Procurement] Contract award amount aligned with initial technical estimates,6.95,5.84,92.98,20.36,11.84,1.84,9.63,"{""procurement_anomaly_score"": 1.5703, ""procurement_anomaly_percentile"": 0.4424, ""financial__sanctioned_amount"": 0.139}",2026-09-06T09:49:30.398408+00:00
MPLADS-000385,23.3,LOW,ROUTINE,NORMAL,0.1661,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,,29.36,32.04,32.33,24.93,37.16,52.67,10.25,"{""progress_anomaly_score"": 1.2904, ""graph_anomaly_score"": 0.0612, ""payment_anomaly_percentile"": 0.0356}",2026-09-06T09:49:30.398408+00:00
MPLADS-000386,6.5,LOW,ROUTINE,NORMAL,0.0231,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,19.79,17.85,17.06,25.75,2.76,0.63,9.67,"{""geo__infrastructure_gap_index"": 0.146, ""project__planned_duration_days"": 0.0491, ""mean_anomaly_score"": 0.0342}",2026-09-06T09:49:30.399408+00:00
MPLADS-000387,9.4,LOW,ROUTINE,NORMAL,0.0262,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,14.96,17.57,16.64,31.63,10.24,8.61,51.07,"{""geo__population_density"": 0.0747, ""financial__sanctioned_amount"": 0.0737, ""geospatial_anomaly_score"": 0.0523}",2026-09-06T09:49:30.399408+00:00
MPLADS-000388,15.0,LOW,ROUTINE,NORMAL,0.011,"[""[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award"", ""[Contractor Capacity] Heavy agency monopolization (83.1% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Geospatial Clustering] Spatial distribution and cluster costs within normal parameters"", ""[Geospatial Clustering] Normal local project density and infrastructure alignment""]",[Contractor Capacity] Recent corporate ownership change registered prior to developmental contract award,[Contractor Capacity] Heavy agency monopolization (83.1% funding channeled through repeated agency-contractor pair),[Contractor Capacity] Allocation distribution across implementing agencies well balanced,13.13,59.63,10.82,72.39,27.16,29.52,54.72,"{""geospatial_anomaly_percentile"": 0.0462, ""project__planned_duration_days"": 0.0227, ""std_anomaly_score"": 0.0113}",2026-09-06T09:49:30.399408+00:00
MPLADS-000389,6.6,LOW,ROUTINE,NORMAL,0.0231,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,5.43,8.77,22.1,26.59,1.86,10.17,17.51,"{""geo__infrastructure_gap_index"": 0.0899, ""payment_anomaly_score"": 0.0847, ""project__planned_duration_days"": 0.067}",2026-09-06T09:49:30.399408+00:00
MPLADS-000390,9.3,LOW,ROUTINE,NORMAL,0.0231,"[""[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY""]",[Entity Graph Relationship] NORMAL_GRAPH_TOPOLOGY,,,15.71,16.46,10.61,31.89,8.65,17.5,45.8,"{""geo__infrastructure_gap_index"": 0.1139, ""geospatial_anomaly_score"": 0.068, ""project__planned_duration_days"": 0.052}",2026-09-06T09:49:30.399408+00:00
MPLADS-000391,80.7,CRITICAL,IMMEDIATE,COST_OVERRUN,1.0,"[""[Financial Execution] Accelerated disbursement velocity (2.1x peer median disbursement speed)"", ""[Financial Execution] Atypical cost per unit (+125.3% vs peer median rate)"", ""[Financial Execution] Contract escalation (54.9% value change with 0 amendments)"", ""[Payment Structuring] ELEVATED_PAYMENT_VOLATILITY"", ""[Physical-Financial Trajectory] SEVERE_PHYSICAL_FINANCIAL_GAP""]",[Financial Execution] Accelerated disbursement velocity (2.1x peer median disbursement speed),[Financial Execution] Atypical cost per unit (+125.3% vs peer median rate),[Financial Execution] Contract escalation (54.9% value change with 0 amendments),78.8,8.12,50.91,31.61,76.85,61.54,29.49,"{""progress_anomaly_score"": 4.5729, ""progress_anomaly_percentile"": 0.8463, ""procurement_anomaly_score"": 0.2121}",2026-09-06T09:49:30.399408+00:00
MPLADS-000392,8.5,LOW,ROUTINE,NORMAL,0.0525,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,6.44,4.53,4.34,21.95,14.65,17.75,22.67,"{""geo__population_density"": 0.339, ""mean_anomaly_score"": 0.0766, ""project__planned_duration_days"": 0.0729}",2026-09-06T09:49:30.399408+00:00
MPLADS-000393,6.9,LOW,ROUTINE,NORMAL,0.0225,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,19.02,4.15,9.59,11.46,24.51,17.98,1.35,"{""financial__sanctioned_amount"": 0.1549, ""mean_anomaly_score"": 0.0843, ""graph_anomaly_percentile"": 0.0374}",2026-09-06T09:49:30.399408+00:00
MPLADS-000394,16.3,LOW,ROUTINE,NORMAL,0.0696,"[""[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE"", ""[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING"", ""[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY"", ""[Contractor Capacity] Heavy agency monopolization (82.1% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] Recent corporate board/director replacement registered for contractor""]",[Entity Graph Relationship] HIGH_CONSTITUENCY_AGENCY_CAPTURE,[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING,[Entity Graph Relationship] PRE_AWARD_GOVERNANCE_INSTABILITY,15.17,1.73,19.25,61.3,21.68,23.58,78.78,"{""geospatial_anomaly_percentile"": 0.1747, ""geospatial_anomaly_score"": 0.1108, ""geo__infrastructure_gap_index"": 0.1063}",2026-09-06T09:49:30.399408+00:00
MPLADS-000395,12.6,LOW,ROUTINE,NORMAL,0.0314,"[""[Contractor Capacity] Heavy agency monopolization (81.1% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] Vendor registration profile and governance structure compliant"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced""]",[Contractor Capacity] Heavy agency monopolization (81.1% funding channeled through repeated agency-contractor pair),[Contractor Capacity] Vendor registration profile and governance structure compliant,[Contractor Capacity] Allocation distribution across implementing agencies well balanced,19.69,7.72,7.85,45.02,38.03,36.07,23.2,"{""geo__population_density"": 0.2374, ""financial__sanctioned_amount"": 0.2134, ""geo__infrastructure_gap_index"": 0.132}",2026-09-06T09:49:30.400510+00:00
MPLADS-000396,8.4,LOW,ROUTINE,NORMAL,0.0314,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,14.01,11.19,14.79,22.73,21.66,17.86,6.1,"{""geo__population_density"": 0.1388, ""geospatial_anomaly_score"": 0.0876, ""graph_anomaly_score"": 0.0396}",2026-09-06T09:49:30.400510+00:00
MPLADS-000397,11.3,LOW,ROUTINE,NORMAL,0.0204,"[""[Payment Structuring] PAYMENT_TIMING_ANOMALY""]",[Payment Structuring] PAYMENT_TIMING_ANOMALY,,,26.61,21.4,9.01,30.32,70.42,6.79,13.13,"{""financial__sanctioned_amount"": 0.0564, ""payment_anomaly_percentile"": 0.0344, ""financial_anomaly_percentile"": 0.0237}",2026-09-06T09:49:30.400510+00:00
MPLADS-000398,11.5,LOW,ROUTINE,NORMAL,0.011,"[""[Geospatial Clustering] Elevated spatial unit cost (+749.0% vs cluster median for work type)"", ""[Geospatial Clustering] High geographic clustering (17 active works within 25 km radius)"", ""[Geospatial Clustering] Geographic coordinates and terrain profile match regional peers"", ""[Tender & Procurement] High bid price similarity across competing tenders (96.9% quotation clustering)"", ""[Tender & Procurement] Compressed tender submission window (14 days vs statutory guidelines)""]",[Geospatial Clustering] Elevated spatial unit cost (+749.0% vs cluster median for work type),[Geospatial Clustering] High geographic clustering (17 active works within 25 km radius),[Geospatial Clustering] Geographic coordinates and terrain profile match regional peers,38.29,46.43,44.44,25.24,19.87,13.0,5.84,"{""geo__population_density"": 0.2501, ""geo__infrastructure_gap_index"": 0.1967, ""procurement_anomaly_percentile"": 0.1311}",2026-09-06T09:49:30.400510+00:00
MPLADS-000399,10.5,LOW,ROUTINE,NORMAL,0.0161,"[""Standard MPLADS project execution profile adhering to statutory norms""]",Standard MPLADS project execution profile adhering to statutory norms,,,15.29,24.25,29.84,35.54,21.37,18.05,25.71,"{""project__planned_duration_days"": 0.0461, ""num_flagged_models"": 0.0014, ""project_size_code"": 0.0}",2026-09-06T09:49:30.400510+00:00
MPLADS-000400,12.5,LOW,ROUTINE,NORMAL,0.0231,"[""[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS""]",[Physical-Financial Trajectory] NORMAL_EXECUTION_PROGRESS,,,32.14,22.38,17.79,17.13,38.28,45.82,4.77,"{""financial__sanctioned_amount"": 0.2626, ""geo__population_density"": 0.1457, ""geo__infrastructure_gap_index"": 0.07}",2026-09-06T09:49:30.400510+00:00
MPLADS-000401,19.1,LOW,ROUTINE,NORMAL,0.0225,"[""[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, shared address, common ownership)"", ""[Contractor Capacity] Heavy agency monopolization (72.4% funding channeled through repeated agency-contractor pair)"", ""[Contractor Capacity] Allocation distribution across implementing agencies well balanced"", ""[Entity Graph Relationship] CORPORATE_COLLUSION_NETWORK"", ""[Entity Graph Relationship] RECURRING_EXCLUSIVE_PAIRING""]","[Contractor Capacity] Contractor identified with corporate collusion risk indicators (shared directors, shared address, common ownership)",[Contractor Capacity] Heavy agency monopolization (72.4% funding channeled through repeated agency-contractor pair),[Contractor Capacity] Allocation distribution across implementing agencies well balanced,24.25,12.84,18.83,100.0,41.96,28.95,95.3,"{""financial__sanctioned_amount"": 0.1301, ""geospatial_anomaly_score"": 0.1233, ""max_anomaly_score"": 0.0844}",2026-09-06T09:49:30.400510+00:00
