project_id,contractor_anomaly_score,contractor_anomaly_percentile,contractor_anomaly_flag,primary_reason,secondary_reason,tertiary_reason,contractor_project_count,capacity_strain_index,corporate_collusion_index,agency_capture_score,model_version,mode,scored_at
MPLADS-000991,26.36,46.38,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,5,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000992,13.36,20.38,False,High constituency allocation concentration (79.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,38,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000993,29.89,52.3,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,5,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000994,20.61,35.18,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000995,48.63,77.98,False,Heavy agency monopolization (81.1% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.684,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000996,25.19,44.58,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000997,65.84,91.2,False,Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (61.2% of works in single constituency),Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.195,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000998,33.3,57.54,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.97),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,1.966,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-000999,73.54,95.0,True,Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (78.1% of works in single constituency),Allocation distribution across implementing agencies well balanced,44,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001000,8.3,10.86,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001001,35.38,60.34,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.629,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001002,18.08,30.02,False,Heavy agency monopolization (80.8% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,27,0.0,0.0,0.703,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001003,65.67,91.06,False,Recent corporate board/director replacement registered for contractor,Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,16,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001004,76.9,96.06,True,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.5,0.643,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001005,24.24,42.72,False,Elevated historical irregularity record (4 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001006,44.8,73.12,False,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.5,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001007,25.13,44.44,False,High constituency allocation concentration (65.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,41,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001008,26.23,46.14,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,6,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001009,13.92,21.7,False,Elevated agency concentration (78.4% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,30,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001010,4.05,4.66,False,Elevated agency concentration (77.2% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001011,31.05,54.16,False,High constituency allocation concentration (70.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,8,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001012,0.3,1.2,False,High constituency allocation concentration (69.1% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001013,25.37,44.84,False,Heavy agency monopolization (65.9% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,24,0.0,0.0,0.828,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001014,5.51,6.76,False,High constituency allocation concentration (75.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001015,43.77,71.76,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.29),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,39,1.289,0.0,0.524,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001016,47.84,77.1,False,Elevated agency concentration (79.5% of vendor work tied to single implementing agency),High constituency allocation concentration (70.1% of works in single constituency),Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001017,7.9,10.04,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001018,61.96,88.96,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001019,8.37,10.96,False,High constituency allocation concentration (75.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,18,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001020,68.77,92.78,False,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.5,0.603,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001021,44.37,72.72,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.59),High constituency allocation concentration (79.3% of works in single constituency),Allocation distribution across implementing agencies well balanced,26,1.594,0.0,0.462,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001022,18.65,31.14,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,30,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001023,9.5,13.02,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,4,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001024,55.58,84.52,False,Recent corporate ownership change registered prior to developmental contract award,High constituency allocation concentration (65.8% of works in single constituency),Allocation distribution across implementing agencies well balanced,10,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001025,23.41,40.9,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,22,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001026,20.08,34.24,False,High constituency allocation concentration (72.9% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.293,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001027,34.93,59.8,False,Contractor identified with corporate collusion risk indicators (shared address),High constituency allocation concentration (68.9% of works in single constituency),Allocation distribution across implementing agencies well balanced,38,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001028,24.89,43.9,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001029,0.0,0.51,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001030,15.03,24.34,False,High constituency allocation concentration (62.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001031,46.51,75.34,False,Elevated agency concentration (80.0% of vendor work tied to single implementing agency),High constituency allocation concentration (74.7% of works in single constituency),Allocation distribution across implementing agencies well balanced,6,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001032,29.82,52.12,False,Heavy agency monopolization (74.2% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,1.08,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001033,6.07,7.64,False,Elevated agency concentration (75.6% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001034,30.34,53.08,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,42,0.0,0.0,0.902,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001035,10.42,14.74,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001036,40.36,67.3,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001037,17.32,28.72,False,High constituency allocation concentration (81.3% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,41,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001038,67.47,92.16,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.65),Recent corporate board/director replacement registered for contractor,Allocation distribution across implementing agencies well balanced,8,1.65,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001039,15.3,24.82,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001040,51.12,80.26,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,30,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001041,26.39,46.42,False,Elevated agency concentration (89.9% of vendor work tied to single implementing agency),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001042,12.87,19.36,False,Elevated agency concentration (74.0% of vendor work tied to single implementing agency),High constituency allocation concentration (78.4% of works in single constituency),Allocation distribution across implementing agencies well balanced,8,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001043,17.79,29.52,False,Elevated agency concentration (85.3% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,4,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001044,46.52,75.36,False,Contractor identified with corporate collusion risk indicators (shared address),High constituency allocation concentration (72.1% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),27,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001045,32.99,57.14,False,Elevated historical irregularity record (4 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,44,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001046,3.81,4.34,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,27,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001047,3.67,4.16,False,High constituency allocation concentration (62.0% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,37,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001048,8.83,11.86,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001049,17.23,28.56,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001050,56.41,85.24,False,Contractor identified with corporate collusion risk indicators (shared address),High constituency allocation concentration (72.1% of works in single constituency),Elevated historical irregularity record (2 past statutory audit findings),27,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001051,65.21,90.82,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 2.98),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,38,1.98,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001052,37.88,63.8,False,Contractor identified with corporate collusion risk indicators (shared address),Elevated agency concentration (76.0% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,22,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001053,29.64,51.88,False,Heavy agency monopolization (82.4% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,1.068,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001054,24.03,42.18,False,Elevated agency concentration (74.1% of vendor work tied to single implementing agency),Elevated historical irregularity record (4 past statutory audit findings),Allocation distribution across implementing agencies well balanced,17,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001055,10.26,14.34,False,Elevated agency concentration (77.2% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001056,54.24,83.24,False,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,17,0.0,0.5,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001057,11.44,16.64,False,Elevated agency concentration (70.9% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001058,19.13,32.08,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.367,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001059,18.04,29.98,False,Elevated agency concentration (80.8% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,25,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001060,44.96,73.32,False,Recent corporate board/director replacement registered for contractor,High constituency allocation concentration (64.5% of works in single constituency),Allocation distribution across implementing agencies well balanced,22,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001061,48.1,77.42,False,Recent corporate board/director replacement registered for contractor,Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,31,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001062,37.96,63.96,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,32,0.0,0.15,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001063,69.72,93.18,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.463,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001064,0.94,1.62,False,Elevated agency concentration (72.1% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001065,25.56,45.26,False,Elevated agency concentration (86.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,2,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001066,0.93,1.6,False,Elevated agency concentration (70.1% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,30,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001067,29.19,50.98,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 1.69),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.694,0.0,0.675,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001068,22.03,38.0,False,Elevated agency concentration (84.0% of vendor work tied to single implementing agency),Elevated historical irregularity record (2 past statutory audit findings),Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001069,30.99,54.1,False,Elevated agency concentration (82.1% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,23,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001070,62.08,88.98,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,42,0.0,0.0,1.223,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001071,33.05,57.2,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,1,0.0,0.0,0.878,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001072,30.42,53.26,False,Heavy agency monopolization (87.8% funding channeled through repeated agency-contractor pair),High constituency allocation concentration (84.7% of works in single constituency),Allocation distribution across implementing agencies well balanced,37,0.0,0.0,0.72,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001073,14.42,23.02,False,High constituency allocation concentration (77.2% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,13,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001074,27.91,48.9,False,Elevated historical irregularity record (2 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,6,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001075,7.39,9.5,False,High constituency allocation concentration (69.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001076,27.05,47.28,False,Elevated agency concentration (86.7% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,2,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001077,0.0,0.51,False,High constituency allocation concentration (74.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,15,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001078,20.5,35.02,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,1,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001079,42.85,70.8,False,Heavy agency monopolization (86.5% funding channeled through repeated agency-contractor pair),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,13,0.0,0.0,1.745,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001080,26.02,45.84,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001081,68.33,92.52,False,Recent corporate ownership change registered prior to developmental contract award,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,16,0.0,0.0,0.51,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001082,38.39,64.48,False,Contractor identified with corporate collusion risk indicators (shared address),High constituency allocation concentration (68.9% of works in single constituency),Allocation distribution across implementing agencies well balanced,38,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001083,27.4,48.08,False,Elevated agency concentration (74.0% of vendor work tied to single implementing agency),High constituency allocation concentration (78.4% of works in single constituency),Allocation distribution across implementing agencies well balanced,8,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001084,73.49,94.94,False,"Contractor identified with corporate collusion risk indicators (shared directors, common ownership)",Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.5,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001085,2.74,3.12,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001086,36.93,62.48,False,Elevated agency concentration (88.9% of vendor work tied to single implementing agency),Elevated historical irregularity record (4 past statutory audit findings),Allocation distribution across implementing agencies well balanced,18,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001087,21.64,37.26,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,36,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001088,8.7,11.54,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,42,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001089,13.66,21.08,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001090,0.56,1.38,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001091,30.86,53.84,False,Elevated historical irregularity record (0 past statutory audit findings),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,10,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001092,34.03,58.64,False,Contractor identified with corporate collusion risk indicators (shared address),Elevated agency concentration (77.6% of vendor work tied to single implementing agency),Allocation distribution across implementing agencies well balanced,27,0.0,0.25,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001093,17.57,29.16,False,High constituency allocation concentration (72.7% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,7,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001094,0.0,0.51,False,Elevated agency concentration (71.9% of vendor work tied to single implementing agency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,20,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001095,62.87,89.54,False,Contractor backlog exceeds registered financial capacity (value-to-capacity ratio 1.73),High constituency allocation concentration (84.3% of works in single constituency),Allocation distribution across implementing agencies well balanced,24,0.725,0.0,0.417,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001096,75.81,95.64,True,Recent corporate board/director replacement registered for contractor,High constituency allocation concentration (60.1% of works in single constituency),Elevated historical irregularity record (4 past statutory audit findings),7,0.0,0.0,0.924,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001097,23.78,41.58,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,34,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001098,31.12,54.26,False,High constituency allocation concentration (60.8% of works in single constituency),Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,43,0.0,0.0,0.252,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
MPLADS-001099,14.0,21.86,False,Contractor capacity and agency pairing metrics within normal parameters,Vendor registration profile and governance structure compliant,Allocation distribution across implementing agencies well balanced,19,0.0,0.0,0.0,1.0.0,early_warning,2026-09-06T08:49:40.199372+00:00
